node_id,x,y,blocked_directions
0,0.000,1.200,"[0, 1, 0, 1]"
1,0.600,1.200,"[0, 1, 0, 1]"
2,1.200,1.200,"[0, 1, 0, 1]"
3,1.800,1.200,"[1, 0, 1, 1]"
4,1.800,0.600,"[0, 0, 1, 1]"
5,1.200,0.600,"[0, 1, 0, 1]"
6,0.600,0.600,"[1, 1, 0, 1]"
7,0.600,0.000,"[0, 1, 1, 1]"
8,1.200,0.000,"[0, 1, 0, 1]"
9,1.800,0.000,"[0, 1, 0, 1]"
10,2.400,0.000,"[0, 1, 1, 1]"
11,3.000,0.000,"[0, 1, 0, 1]"
12,3.600,0.000,"[0, 0, 1, 1]"
13,3.600,0.600,"[1, 0, 1, 1]"
14,3.600,1.200,"[1, 0, 1, 0]"
15,3.600,1.800,"[1, 0, 1, 0]"
16,3.600,2.400,[]
