timestamp,position,tof1,marker,yaw_gimbal
1755340476.4927795,"0.000,0.000",4854.0,,0
1755340476.5125158,"0.000,0.000",4854.0,,0
1755340476.513206,"0.000,0.000",4854.0,,0
1755340476.5325243,"0.000,0.000",4854.0,,0
1755340476.5332925,"0.000,0.000",4854.0,,-3.74
1755340476.533646,"0.000,0.000",4854,,-3.74
1755340476.5526588,"0.000,0.000",4854,,-3.74
1755340476.5530822,"0.000,0.000",4854,,-3.75
1755340476.5538125,"0.000,0.000",4886.5,,1.1
1755340476.5536354,"0.000,0.000",4854,,1.1
1755340476.562574,"0.000,0.000",4886.5,,1.1
1755340476.5629964,"0.000,0.000",4886.5,,-3.74
1755340476.5630155,"0.000,0.000",4886.5,,1.1
1755340476.5633,"0.000,0.000",4890,,1.1
1755340476.5925317,"0.000,-0.000",4890,,1.1
1755340476.5932288,"0.000,-0.000",4890,,1.1
1755340476.5931678,"0.000,-0.000",4890,,-3.74
1755340476.5934994,"0.000,-0.000",4890,,1.1
1755340476.604901,"0.000,-0.000",4890,,1.1
1755340476.606355,"0.000,-0.000",4890,,1.1
1755340476.6055562,"0.000,-0.000",4890,,-3.74
1755340476.605573,"0.000,-0.000",4890,,1.1
1755340476.632443,"0.000,-0.000",4890,,1.1
1755340476.6329114,"0.000,-0.000",4890,,-3.74
1755340476.633233,"0.000,-0.000",4890,,1.1
1755340476.6332126,"0.000,-0.000",4890,,1.1
1755340476.6524155,"0.000,-0.000",4890,,1.1
1755340476.652754,"0.000,-0.000",4890,,-3.75
1755340476.652983,"0.000,-0.000",4890,,1.1
1755340476.653161,"0.000,-0.000",4890,,1.1
1755340476.6724432,"-0.000,-0.000",4890,,1.1
1755340476.6727061,"-0.000,-0.000",4890,,-3.75
1755340476.6733212,"-0.000,-0.000",4890,,1.1
1755340476.673346,"-0.000,-0.000",4893,,1.1
1755340476.6924276,"-0.000,-0.000",4893,,1.1
1755340476.692911,"-0.000,-0.000",4893,,-3.75
1755340476.6932623,"-0.000,-0.000",4893,,1.1
1755340476.6929545,"-0.000,-0.000",4893,,1.1
1755340476.7126074,"-0.000,-0.000",4893,,-3.74
1755340476.712579,"-0.000,-0.000",4893,,1.1
1755340476.7133672,"-0.000,-0.000",4893,,1.1
1755340476.713734,"-0.000,-0.000",4914,,1.1
1755340476.722518,"-0.000,-0.000",4914,,1.1
1755340476.7230678,"-0.000,-0.000",4914,,-3.74
